WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
DEBUG__main__:HYPERPARAMS
n_neurons_hl1 = 32
n_neurons_hl2 = 32
discount = 0.99
learning_rate = 1e-05
DEBUG__main__:EP	reward	info
DEBUG__main__:203	-76.0	Max steps 100 reached per episodes.
DEBUG__main__:204	-72.5	Max steps 100 reached per episodes.
DEBUG__main__:205	-74.5	Max steps 100 reached per episodes.
DEBUG__main__:206	-74.5	Max steps 100 reached per episodes.
DEBUG__main__:207	-75.5	Max steps 100 reached per episodes.
DEBUG__main__:208	-73.5	Max steps 100 reached per episodes.
DEBUG__main__:209	-71.0	Max steps 100 reached per episodes.
DEBUG__main__:210	-76.0	Max steps 100 reached per episodes.
DEBUG__main__:211	-74.0	Max steps 100 reached per episodes.
DEBUG__main__:212	-75.0	Max steps 100 reached per episodes.
DEBUG__main__:213	-73.5	Max steps 100 reached per episodes.
DEBUG__main__:214	-77.0	Max steps 100 reached per episodes.
DEBUG__main__:215	-74.0	Max steps 100 reached per episodes.
DEBUG__main__:216	-75.0	Max steps 100 reached per episodes.
DEBUG__main__:217	-76.0	Max steps 100 reached per episodes.
DEBUG__main__:218	-77.0	Max steps 100 reached per episodes.
DEBUG__main__:219	-74.5	Max steps 100 reached per episodes.
DEBUG__main__:220	-74.0	Max steps 100 reached per episodes.
DEBUG__main__:221	-80.0	Max steps 100 reached per episodes.
DEBUG__main__:222	-72.0	Max steps 100 reached per episodes.
DEBUG__main__:223	-76.0	Max steps 100 reached per episodes.
DEBUG__main__:224	-74.5	Max steps 100 reached per episodes.
DEBUG__main__:225	-74.5	Max steps 100 reached per episodes.
DEBUG__main__:226	-75.0	Max steps 100 reached per episodes.
DEBUG__main__:227	-74.5	Max steps 100 reached per episodes.
DEBUG__main__:228	-73.5	Max steps 100 reached per episodes.
DEBUG__main__:229	-74.5	Max steps 100 reached per episodes.
DEBUG__main__:230	-73.5	Max steps 100 reached per episodes.
DEBUG__main__:231	-75.5	Max steps 100 reached per episodes.
DEBUG__main__:232	-69.0	Max steps 100 reached per episodes.
DEBUG__main__:233	-74.5	Max steps 100 reached per episodes.
DEBUG__main__:234	-69.5	Max steps 100 reached per episodes.
DEBUG__main__:235	-73.5	Max steps 100 reached per episodes.
DEBUG__main__:236	-74.5	Max steps 100 reached per episodes.
DEBUG__main__:237	-72.5	Max steps 100 reached per episodes.
DEBUG__main__:238	-75.0	Max steps 100 reached per episodes.
DEBUG__main__:239	-77.5	Max steps 100 reached per episodes.
DEBUG__main__:240	-74.0	Max steps 100 reached per episodes.
DEBUG__main__:241	-73.0	Max steps 100 reached per episodes.
DEBUG__main__:242	-78.5	Max steps 100 reached per episodes.
DEBUG__main__:243	-73.0	Max steps 100 reached per episodes.
DEBUG__main__:244	-77.5	Max steps 100 reached per episodes.
DEBUG__main__:245	-73.0	Max steps 100 reached per episodes.
DEBUG__main__:246	-75.5	Max steps 100 reached per episodes.
DEBUG__main__:247	-72.0	Max steps 100 reached per episodes.
DEBUG__main__:248	-77.5	Max steps 100 reached per episodes.
DEBUG__main__:249	-73.5	Max steps 100 reached per episodes.
DEBUG__main__:250	-164.5	Episode @step 83 with distance: 0.0943
DEBUG__main__:251	-72.0	Max steps 100 reached per episodes.
DEBUG__main__:252	-73.5	Max steps 100 reached per episodes.
DEBUG__main__:253	-77.0	Max steps 100 reached per episodes.
DEBUG__main__:254	-75.0	Max steps 100 reached per episodes.
DEBUG__main__:255	-74.5	Max steps 100 reached per episodes.
DEBUG__main__:256	-75.0	Max steps 100 reached per episodes.
DEBUG__main__:257	-77.0	Max steps 100 reached per episodes.
DEBUG__main__:258	-77.0	Max steps 100 reached per episodes.
DEBUG__main__:259	-72.5	Max steps 100 reached per episodes.
DEBUG__main__:260	-78.0	Max steps 100 reached per episodes.
DEBUG__main__:261	-75.0	Max steps 100 reached per episodes.
DEBUG__main__:262	-70.0	Max steps 100 reached per episodes.
DEBUG__main__:263	-77.0	Max steps 100 reached per episodes.
DEBUG__main__:264	-74.0	Max steps 100 reached per episodes.
DEBUG__main__:265	-70.0	Max steps 100 reached per episodes.
DEBUG__main__:266	-78.0	Max steps 100 reached per episodes.
DEBUG__main__:267	-76.5	Max steps 100 reached per episodes.
DEBUG__main__:268	-73.5	Max steps 100 reached per episodes.
DEBUG__main__:269	-76.0	Max steps 100 reached per episodes.
DEBUG__main__:270	-73.0	Max steps 100 reached per episodes.
DEBUG__main__:271	-78.5	Max steps 100 reached per episodes.
DEBUG__main__:272	-76.0	Max steps 100 reached per episodes.
DEBUG__main__:273	-76.5	Max steps 100 reached per episodes.
DEBUG__main__:274	-74.5	Max steps 100 reached per episodes.
DEBUG__main__:275	-77.5	Max steps 100 reached per episodes.
DEBUG__main__:276	-79.5	Max steps 100 reached per episodes.
DEBUG__main__:277	-76.5	Max steps 100 reached per episodes.
